school_code,prev_sat,SCHOOL OWNERSHIP,SCHOOL CATEGORY,SCHOOL TYPE,COMBINATIONS CATEGORY,ACADEMIC LEVEL CATEGORY,prev_gpa,gpa,sat,STUDENTS,TEACHERS,STUDENT-TEACHER RATIO,student_teacher_ratio
s0146,24.0,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,3.0417,2.875,16.0,400.0,25.0,16:1,16.0
s0147,205.0,,,,,,3.1364,2.6761,142.0,,,,
s0148,22.0,,,,,,2.197,2.1111,27.0,,,,
s0149,473.0,,,,,,2.253,2.1601,433.0,,,,
s0150,452.0,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,ALEVEL ONLY,2.6449,2.7454,457.0,850.0,35.0,24:1,24.285714285714285
s0151,676.0,GOVERNMENT,BOYS ONLY,,MIXED,ALEVEL ONLY,2.2133,2.2929,585.0,1200.0,50.0,24:1,24.0
s0152,204.0,,,,,,2.6242,2.3414,226.0,,,,
s0153,252.0,,,,,,2.7037,2.3938,273.0,,,,
s0154,3.0,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,2.0556,1.9048,7.0,300.0,25.0,12:1,12.0
s0155,109.0,,,,,,1.4144,1.3357,142.0,,,,
s0156,76.0,GOVERNMENT,BOYS AND GIRLS,BOARDING,SCIENCE,COMBINED OA,2.8838,2.6311,136.0,1070.0,69.0,16:1,15.507246376811594
s0158,427.0,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,ALEVEL ONLY,2.4161,2.3992,492.0,1000.0,50.0,20:1,20.0
s0160,281.0,,,,,,2.2811,2.4686,278.0,,,,
s0164,18.0,,,,,,3.1574,3.1667,11.0,,,,
s0165,17.0,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,2.0392,2.3025,27.0,220.0,20.0,11:1,11.0
s0167,19.0,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,2.9386,2.537,19.0,400.0,20.0,20:1,20.0
s0168,39.0,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,2.1709,2.914,31.0,400.0,30.0,13:1,13.333333333333334
s0174,26.0,,,,,,3.2179,3.3043,23.0,,,,
s0175,44.0,,,,,,2.0152,2.1591,44.0,,,,
s0177,37.0,,,,,,3.1622,2.4216,17.0,,,,
s0178,7.0,,,,,,3.1667,2.7778,9.0,,,,
